propertyType,propertyAddress,agent,postalCode,city,state,country,status,price,currency,rooms,area,buyRent,garage,garden,swimmingPool,lat,lon,additionalInfo,image1,image2,image3
Building,9 Bultman Crossing,Tirth Barot,13217,Adana,New York,United States,Available,665286,Dollar,63,Paget,Rent,false,false,true,43.0214,-76.1977,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",http://dummyimage.com/249x124.jpg/cc0000/ffffff,http://dummyimage.com/193x162.jpg/5fa2dd/ffffff,http://dummyimage.com/203x210.jpg/cc0000/ffffff
Building,57536 Scott Crossing,Anad Panchal,98417,Fnideq,Washington,United States,Available,62087,Dollar,59,Shopko,Rent,true,true,true,47.2061,-122.4822,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",http://dummyimage.com/147x235.jpg/5fa2dd/ffffff,http://dummyimage.com/241x102.jpg/dddddd/000000,http://dummyimage.com/118x208.jpg/5fa2dd/ffffff
Flat,4 Harbort Center,Tirth Barot,77085,Hoceima,Texas,United States,Unavailable,380007,Dollar,140,Orin,Rent,false,true,true,29.6218,-95.4819,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://dummyimage.com/204x170.jpg/5fa2dd/ffffff,http://dummyimage.com/155x218.jpg/ff4444/ffffff,http://dummyimage.com/237x103.jpg/5fa2dd/ffffff
Flat,73509 Troy Pass,Anad Panchal,73129,Sebt Gzoula,Oklahoma,United States,Available,215698,Dollar,458,Lunder,Buy,false,false,false,35.4312,-97.4913,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",http://dummyimage.com/204x136.jpg/dddddd/000000,http://dummyimage.com/161x233.jpg/5fa2dd/ffffff,http://dummyimage.com/179x211.jpg/5fa2dd/ffffff
Flat,734 Schlimgen Drive,Tirth Barot,32204,Hattane,Florida,United States,Available,987400,Dollar,322,Vermont,Buy,true,true,true,30.3189,-81.6854,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/224x129.jpg/cc0000/ffffff,http://dummyimage.com/229x188.jpg/dddddd/000000,http://dummyimage.com/233x203.jpg/5fa2dd/ffffff
Building,2433 David Terrace,Anad Panchal,80915,Kars,Colorado,United States,Available,250381,Dollar,217,Nelson,Rent,true,true,false,38.8558,-104.7134,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",http://dummyimage.com/226x113.jpg/5fa2dd/ffffff,http://dummyimage.com/133x212.jpg/dddddd/000000,http://dummyimage.com/118x163.jpg/ff4444/ffffff
Flat,8 Goodland Avenue,Tirth Barot,14619,Kastamonu,New York,United States,Available,853644,Dollar,487,Drewry,Buy,false,false,true,43.1367,-77.6481,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://dummyimage.com/142x159.jpg/cc0000/ffffff,http://dummyimage.com/170x113.jpg/cc0000/ffffff,http://dummyimage.com/177x170.jpg/5fa2dd/ffffff
Flat,9394 Westend Court,Anad Panchal,91103,Kırklareli,California,United States,Unavailable,47776,Dollar,33,Fieldstone,Rent,true,true,false,34.1669,-118.1551,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",http://dummyimage.com/221x105.jpg/5fa2dd/ffffff,http://dummyimage.com/185x171.jpg/cc0000/ffffff,http://dummyimage.com/107x104.jpg/dddddd/000000
Building,5476 Barnett Hill,Anad Panchal,21203,Fnideq,Maryland,United States,Unavailable,946042,Dollar,342,Twin Pines,Buy,true,true,true,39.2847,-76.6205,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/198x217.jpg/5fa2dd/ffffff,http://dummyimage.com/123x137.jpg/dddddd/000000,http://dummyimage.com/100x167.jpg/cc0000/ffffff
Flat,8420 Pleasure Place,Tirth Barot,1654,Aydın,Massachusetts,United States,Unavailable,404767,Dollar,322,Grim,Buy,false,true,true,42.3648,-71.8969,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",http://dummyimage.com/147x133.jpg/5fa2dd/ffffff,http://dummyimage.com/180x196.jpg/ff4444/ffffff,http://dummyimage.com/196x224.jpg/dddddd/000000
Flat,3723 Delladonna Point,Anad Panchal,50981,Adana,Iowa,United States,Available,922025,Dollar,220,Wayridge,Rent,false,false,true,41.6727,-93.5722,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",http://dummyimage.com/200x237.jpg/ff4444/ffffff,http://dummyimage.com/127x197.jpg/ff4444/ffffff,http://dummyimage.com/242x187.jpg/cc0000/ffffff
Building,22 Brentwood Parkway,Tirth Barot,55115,Adana,Minnesota,United States,Available,538759,Dollar,57,Kropf,Rent,true,false,true,45.071,-92.9391,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",http://dummyimage.com/159x111.jpg/ff4444/ffffff,http://dummyimage.com/222x130.jpg/5fa2dd/ffffff,http://dummyimage.com/220x158.jpg/5fa2dd/ffffff
Building,645 Helena Terrace,Anad Panchal,8619,Fnideq,New Jersey,United States,Unavailable,558223,Dollar,128,Londonderry,Buy,false,true,false,40.2418,-74.6962,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",http://dummyimage.com/200x125.jpg/cc0000/ffffff,http://dummyimage.com/228x139.jpg/dddddd/000000,http://dummyimage.com/168x161.jpg/ff4444/ffffff
Building,80 Schiller Terrace,Tirth Barot,53726,Hoceima,Wisconsin,United States,Available,986750,Dollar,63,Ohio,Buy,false,true,false,43.0696,-89.4239,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/241x170.jpg/5fa2dd/ffffff,http://dummyimage.com/210x168.jpg/cc0000/ffffff,http://dummyimage.com/108x172.jpg/dddddd/000000
Flat,5 Corscot Place,Anad Panchal,56398,Sebt Gzoula,Minnesota,United States,Unavailable,959738,Dollar,115,Shelley,Buy,false,true,true,45.5289,-94.5933,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/219x207.jpg/dddddd/000000,http://dummyimage.com/158x203.jpg/cc0000/ffffff,http://dummyimage.com/186x151.jpg/cc0000/ffffff
Flat,99 Delaware Trail,Tirth Barot,76598,Hattane,Texas,United States,Unavailable,975956,Dollar,57,Anniversary,Buy,false,true,true,31.3902,-97.7993,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",http://dummyimage.com/152x182.jpg/cc0000/ffffff,http://dummyimage.com/173x186.jpg/5fa2dd/ffffff,http://dummyimage.com/233x204.jpg/5fa2dd/ffffff
Building,856 Rusk Hill,Anad Panchal,33245,Kars,Florida,United States,Available,186308,Dollar,237,Oneill,Buy,false,true,false,25.5584,-80.4582,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",http://dummyimage.com/119x140.jpg/cc0000/ffffff,http://dummyimage.com/112x189.jpg/dddddd/000000,http://dummyimage.com/127x196.jpg/ff4444/ffffff
Flat,94456 Sheridan Pass,Tirth Barot,10310,Kastamonu,New York,United States,Available,581224,Dollar,108,Prairie Rose,Rent,true,false,false,40.6324,-74.1172,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/129x147.jpg/5fa2dd/ffffff,http://dummyimage.com/191x249.jpg/dddddd/000000,http://dummyimage.com/149x227.jpg/cc0000/ffffff
Building,04437 Killdeer Point,Anad Panchal,23225,Kırklareli,Virginia,United States,Unavailable,675149,Dollar,41,Garrison,Rent,true,true,false,37.5158,-77.5047,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",http://dummyimage.com/222x126.jpg/5fa2dd/ffffff,http://dummyimage.com/228x221.jpg/ff4444/ffffff,http://dummyimage.com/180x240.jpg/cc0000/ffffff
Building,11 Monica Way,Anad Panchal,20709,Fnideq,Maryland,United States,Unavailable,75227,Dollar,366,Swallow,Rent,false,true,false,38.8336,-76.8777,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",http://dummyimage.com/154x147.jpg/ff4444/ffffff,http://dummyimage.com/137x219.jpg/dddddd/000000,http://dummyimage.com/204x195.jpg/dddddd/000000
Flat,1931 Declaration Court,Tirth Barot,21290,Aydın,Maryland,United States,Available,325382,Dollar,457,Redwing,Buy,true,false,true,39.2933,-76.6238,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",http://dummyimage.com/101x227.jpg/ff4444/ffffff,http://dummyimage.com/116x213.jpg/dddddd/000000,http://dummyimage.com/190x217.jpg/cc0000/ffffff
Building,9 Colorado Street,Anad Panchal,66642,Adana,Kansas,United States,Unavailable,104927,Dollar,63,Brentwood,Buy,false,true,false,39.0429,-95.7697,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/209x210.jpg/cc0000/ffffff,http://dummyimage.com/222x162.jpg/cc0000/ffffff,http://dummyimage.com/181x127.jpg/cc0000/ffffff
Flat,38856 Susan Trail,Tirth Barot,55188,Adana,Minnesota,United States,Available,750004,Dollar,145,Hayes,Rent,true,false,true,45.0059,-93.1059,Sed ante. Vivamus tortor. Duis mattis egestas metus.,http://dummyimage.com/207x155.jpg/5fa2dd/ffffff,http://dummyimage.com/117x217.jpg/5fa2dd/ffffff,http://dummyimage.com/203x240.jpg/5fa2dd/ffffff
Building,4 Troy Avenue,Anad Panchal,60614,Fnideq,Illinois,United States,Unavailable,365130,Dollar,433,Birchwood,Buy,false,true,false,41.9229,-87.6483,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",http://dummyimage.com/213x232.jpg/5fa2dd/ffffff,http://dummyimage.com/179x157.jpg/ff4444/ffffff,http://dummyimage.com/243x104.jpg/cc0000/ffffff
Flat,97552 Buell Drive,Tirth Barot,38104,Hoceima,Tennessee,United States,Unavailable,633085,Dollar,231,Mockingbird,Rent,true,true,true,35.1334,-90.0046,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",http://dummyimage.com/175x205.jpg/5fa2dd/ffffff,http://dummyimage.com/173x136.jpg/cc0000/ffffff,http://dummyimage.com/173x242.jpg/ff4444/ffffff
Building,363 Granby Junction,Anad Panchal,25389,Sebt Gzoula,West Virginia,United States,Unavailable,446968,Dollar,19,Merchant,Buy,true,true,false,38.354,-81.6394,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",http://dummyimage.com/197x200.jpg/5fa2dd/ffffff,http://dummyimage.com/221x230.jpg/ff4444/ffffff,http://dummyimage.com/109x135.jpg/dddddd/000000
Building,52117 Ryan Terrace,Tirth Barot,34479,Hattane,Florida,United States,Available,330738,Dollar,119,Roxbury,Rent,false,true,true,29.2541,-82.1095,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://dummyimage.com/133x171.jpg/ff4444/ffffff,http://dummyimage.com/218x102.jpg/ff4444/ffffff,http://dummyimage.com/199x139.jpg/cc0000/ffffff
Building,3 Hagan Center,Anad Panchal,85099,Kars,Arizona,United States,Unavailable,644887,Dollar,170,Vernon,Buy,false,true,true,33.2765,-112.1872,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/106x206.jpg/ff4444/ffffff,http://dummyimage.com/110x243.jpg/dddddd/000000,http://dummyimage.com/145x127.jpg/dddddd/000000
Building,6 Buena Vista Lane,Tirth Barot,39204,Kastamonu,Mississippi,United States,Available,607830,Dollar,423,Menomonie,Buy,false,false,false,32.2832,-90.2306,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",http://dummyimage.com/222x231.jpg/5fa2dd/ffffff,http://dummyimage.com/109x102.jpg/ff4444/ffffff,http://dummyimage.com/184x188.jpg/ff4444/ffffff
Building,8 Waxwing Park,Anad Panchal,84130,Kırklareli,Utah,United States,Available,935683,Dollar,129,Ramsey,Buy,true,true,true,40.6681,-111.9083,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",http://dummyimage.com/151x225.jpg/dddddd/000000,http://dummyimage.com/242x234.jpg/cc0000/ffffff,http://dummyimage.com/155x121.jpg/ff4444/ffffff
Flat,8 Michigan Parkway,Anad Panchal,23242,Fnideq,Virginia,United States,Available,556053,Dollar,136,Crest Line,Rent,false,true,true,37.5313,-77.4161,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://dummyimage.com/189x121.jpg/5fa2dd/ffffff,http://dummyimage.com/171x221.jpg/5fa2dd/ffffff,http://dummyimage.com/115x172.jpg/5fa2dd/ffffff
